id:ID,name,厂商,级别,能源类型,环保标准,上市时间,最大功率(kW),发动机,变速箱,车身结构,最高车速(km/h),工信部综合油耗(L/100km),整车质保
779,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,货车,-,-,-
780,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.11,165.0,2.0T 224马力 L4,8挡手自一体,MPV,200,-,三年或6万公里
781,基本参数,上汽大通,中型SUV,纯电动,,2020.05,130.0,,,SUV,170,,三年或8万公里
782,基本参数,上汽大通,皮卡,柴油,国VI,2020.09,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,三年或6万公里
783,基本参数,上汽大通,轻客,柴油,国V,2020.01,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
784,基本参数,上汽大通,皮卡,柴油,国VI,2019.06,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,-
785,基本参数,上汽大通,皮卡,柴油,国VI,2020.05,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,三年或6万公里
786,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.05,165.0,2.0T 224马力 L4,6挡手动,MPV,190,9.4,三年或6万公里
787,基本参数,上汽大通,轻客,柴油,国VI,2020.08,109.0,2.0T 148马力 L4,6挡AMT,客车,150,-,-
788,基本参数,上汽大通,皮卡,柴油,国V,2019.09,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
789,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡AMT,客车,-,-,-
790,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡手动,客车,-,-,-
791,基本参数,上汽大通,中大型SUV,柴油,国VI,2020.04,160.0,2.0T 218马力 L4,8挡手自一体,SUV,180,8.2,三年或10万公里
792,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
793,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
794,基本参数,上汽大通,轻客,柴油,国V,2020.01,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
795,基本参数,上汽大通,皮卡,汽油,国V,2017.11,105.0,2.4L 143马力 L4,5挡手动,皮卡,-,-,-
796,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡AMT,客车,-,-,-
797,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
798,基本参数,上汽大通,皮卡,汽油,国VI,2020.05,157.0,2.0T 214马力 L4,6挡手动,皮卡,-,-,三年或6万公里
799,基本参数,上汽大通,皮卡,柴油,国VI,2019.06,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,-
800,基本参数,,,,,,,,,,,,
801,基本参数,上汽大通,轻客,柴油,国VI,2019.07,109.0,2.0T 148马力 L4,6挡AMT,货车,150,-,-
802,基本参数,上汽大通,皮卡,柴油,国VI,2020.09,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,三年或6万公里
803,基本参数,上汽大通,紧凑型MPV,纯电动,,2020.05,130.0,,,MPV,170,,三年或8万公里
804,基本参数,,,,,,,,,,,,
805,基本参数,上汽大通,皮卡,汽油,国V,2017.11,105.0,2.4L 143马力 L4,5挡手动,皮卡,-,-,-
806,基本参数,上汽大通,轻客,柴油,国V,2020.01,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
807,基本参数,上汽大通,皮卡,柴油,国VI,2019.06,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,-
808,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.05,165.0,2.0T 224马力 L4,6挡手自一体,MPV,190,10,三年或6万公里
809,基本参数,上汽大通,中大型MPV,柴油,国VI,2020.05,120.0,2.0T 163马力 L4,6挡手动,MPV,190,7.6,三年或6万公里
810,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡AMT,货车,-,-,-
811,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡手动,客车,-,-,-
812,基本参数,上汽大通,中型SUV,汽油,国VI,2019.08,124.0,1.5T 169马力 L4,7挡双离合,SUV,-,7.2,三年或6万公里
813,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡AMT,客车,-,-,-
814,基本参数,上汽大通,皮卡,汽油,国VI,2020.05,157.0,2.0T 214马力 L4,6挡手动,皮卡,-,-,三年或6万公里
815,基本参数,上汽大通,中大型MPV,柴油,国VI,2020.11,120.0,2.0T 163马力 L4,8挡手自一体,MPV,190,-,三年或6万公里
816,基本参数,上汽大通,轻客,柴油,国VI,2020.08,109.0,2.0T 148马力 L4,6挡手动,客车,150,-,-
817,基本参数,上汽大通,轻客,柴油,国V,2020.08,100.0,2.5T 136马力 L4,6挡手动,货车,160,-,-
818,基本参数,上汽大通,皮卡,汽油,国V,2017.11,105.0,2.4L 143马力 L4,5挡手动,皮卡,-,-,-
819,基本参数,上汽大通,轻客,柴油,国V,2020.08,100.0,2.5T 136马力 L4,6挡手动,货车,160,-,-
820,基本参数,,,,,,,,,,,,
821,基本参数,上汽大通,轻客,柴油,国V,2020.08,100.0,2.5T 136马力 L4,6挡AMT,货车,160,-,-
822,基本参数,上汽大通,皮卡,柴油,国VI,2019.06,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,-
823,基本参数,上汽大通,微面,纯电动,,2019.08,70.0,,,货车,90,,-
824,基本参数,,,,,,,,,,,,
825,基本参数,上汽大通,轻客,柴油,国VI,2020.08,109.0,2.0T 148马力 L4,6挡手动,客车,-,-,-
826,基本参数,上汽大通,中大型SUV,汽油,国V,2017.08,165.0,2.0T 224马力 L4,6挡手动,SUV,185,8.9,待查
827,基本参数,,,,,,,,,,,,
828,基本参数,,,,,,,,,,,,
829,基本参数,,,,,,,,,,,,
830,基本参数,,,,,,,,,,,,
831,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.05,165.0,2.0T 224马力 L4,6挡手动,MPV,190,9.4,三年或6万公里
832,基本参数,,,,,,,,,,,,
833,基本参数,上汽大通,皮卡,柴油,国VI,2020.05,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,三年或6万公里
834,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
835,基本参数,上汽大通,中型SUV,汽油,国VI,2019.08,124.0,1.5T 169马力 L4,7挡双离合,SUV,-,7.2,三年或6万公里
836,基本参数,上汽大通,皮卡,柴油,国VI,2020.09,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,三年或6万公里
837,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,货车,-,-,-
838,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
839,基本参数,上汽大通,皮卡,柴油,国VI,2020.09,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,三年或6万公里
840,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡自动,皮卡,-,-,-
841,基本参数,上汽大通,皮卡,汽油,国VI,2020.03,157.0,2.0T 214马力 L4,8挡自动,皮卡,-,-,三年或6万公里
842,基本参数,上汽大通,中型SUV,汽油,国VI,2019.08,124.0,1.5T 169马力 L4,7挡双离合,SUV,-,7.2,三年或6万公里
843,基本参数,上汽大通,皮卡,汽油,国V,2017.11,165.0,2.0T 224马力 L4,6挡自动,皮卡,-,-,-
844,基本参数,上汽大通,中大型SUV,汽油,国VI,2020.04,160.0,2.0T 218马力 L4,8挡手自一体,SUV,185,9.2,三年或10万公里
