id:ID,name,排量(L),进气形式,气缸排列形式,气缸数(个),每缸气门数(个),压缩比,配气机构,缸径(mm),行程(mm),最大马力(Ps),最大功率(kW),最大功率转速(rpm),最大扭矩(N·m),最大扭矩转速(rpm),燃料形式,燃油标号,供油方式,缸盖材料,缸体材料,环保标准
3035,发动机,,,,,,,,,,,130.0,,310,,,,,,,
3036,发动机,2.5,涡轮增压,L,4,4,-,DOHC,-,-,136.0,100.0,3800,330,1800-2800,柴油,0号,直喷,铝合金,铸铁,国V
3037,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3038,发动机,,,,,,,,,,,,,,,,,,,,
3039,发动机,2.0,涡轮增压,L,4,4,-,未知,-,-,224.0,165.0,-,360,-,汽油,92号,直喷,铝合金,未知,国V
3040,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,224.0,165.0,-,360,-,汽油,92号,直喷,铝合金,铝合金,国V
3041,发动机,,,,,,,,,,,,,,,,,,,,
3042,发动机,,,,,,,,,,,75.0,,380,,,,,,,
3043,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
3044,发动机,,,,,,,,,,,,,,,,,,,,
3045,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3046,发动机,1.8,涡轮增压,L,4,未知,-,未知,-,-,155.0,114.0,-,-,-,汽油,92号,多点电喷,未知,未知,国IV
3047,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
3048,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
3049,发动机,,,,,,,,,,,70.0,,220,,,,,,,
3050,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,224.0,165.0,-,350,-,汽油,92号,直喷,铝合金,铝合金,国VI
3051,发动机,,,,,,,,,,,,,,,,,,,,
3052,发动机,2.4,自然吸气,L,4,4,-,DOHC,-,-,156.0,115.0,-,225,-,汽油,92号,多点电喷,铝合金,未知,国VI
3053,发动机,2.4,自然吸气,L,4,4,-,未知,-,-,143.0,105.0,-,200,-,汽油,92号,多点电喷,铝合金,未知,国V
3054,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3055,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3056,发动机,,,,,,,,,,,,,,,,,,,,
3057,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,139.0,102.0,3500,330,1400-2800,柴油,0号,直喷,铝合金,铸铁,国VI
3058,发动机,,,,,,,,,,,130.0,,310,,,,,,,
3059,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3060,发动机,,,,,,,,,,,,,,,,,,,,
3061,发动机,2.0,涡轮增压,L,4,4,-,未知,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3062,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3063,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,未知,未知,国VI
3064,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3065,发动机,,,,,,,,,,,,,,,,,,,,
3066,发动机,,,,,,,,,,,130.0,,310,,,,,,,
3067,发动机,,,,,,,,,,,,,,,,,,,,
3068,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3069,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3070,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3071,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,148.0,109.0,3500,375,1500-2400,柴油,0号,直喷,未知,未知,国VI
3072,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,163.0,120.0,-,375,-,柴油,0号,直喷,铝合金,铸铁,国VI
3073,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,214.0,157.0,-,350,-,汽油,92号,-,铝合金,未知,国VI
3074,发动机,,,,,,,,,,,,,,,,,,,,
3075,发动机,1.5,涡轮增压,L,4,4,-,DOHC,-,-,169.0,124.0,5600,250,1700-4400,汽油,92号,直喷,铝合金,铝合金,国VI
3076,发动机,2.3,自然吸气,L,4,未知,-,未知,-,-,130.0,96.0,-,-,-,汽油,92号,多点电喷,未知,未知,国IV
3077,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,218.0,160.0,-,350,-,汽油,92号,直喷,铝合金,铝合金,国VI
3078,发动机,2.0,涡轮增压,L,4,4,-,DOHC,-,-,218.0,160.0,5300,350,2000-4000,汽油,92号,直喷,铝合金,铝合金,国VI
3079,发动机,2.8,涡轮增压,L,4,4,-,未知,-,-,150.0,110.0,3400,360,1600-2800,柴油,0号,直喷,未知,未知,国V
3080,发动机,,,,,,,,,,,100.0,,320,,,,,,,
