id:ID,name,简称,变速箱类型
1713,变速箱,7挡双离合,
1714,变速箱,,手动变速箱(MT)
1715,变速箱,,手动变速箱(MT)
1716,变速箱,,
1717,变速箱,,
1718,变速箱,6挡手动,
1719,变速箱,,
1720,变速箱,,手动变速箱(MT)
1721,变速箱,,
1722,变速箱,,固定齿比变速箱
1723,变速箱,,手动变速箱(MT)
1724,变速箱,6挡手自一体,
1725,变速箱,6挡手动,
1726,变速箱,,
1727,变速箱,,机械式自动变速箱(AMT)
1728,变速箱,,手动变速箱(MT)
1729,变速箱,,
1730,变速箱,,固定齿比变速箱
1731,变速箱,,手动变速箱(MT)
1732,变速箱,,手动变速箱(MT)
1733,变速箱,,手动变速箱(MT)
1734,变速箱,,机械式自动变速箱(AMT)
1735,变速箱,8挡手自一体,
1736,变速箱,,自动变速箱(AT)
1737,变速箱,,机械式自动变速箱(AMT)
1738,变速箱,6挡手动,
1739,变速箱,,
1740,变速箱,,手动变速箱(MT)
1741,变速箱,,手动变速箱(MT)
1742,变速箱,,自动变速箱(AT)
1743,变速箱,,手动变速箱(MT)
1744,变速箱,8挡手自一体,
1745,变速箱,电动车单速变速箱,
1746,变速箱,,自动变速箱(AT)
1747,变速箱,,手动变速箱(MT)
1748,变速箱,,手动变速箱(MT)
1749,变速箱,,自动变速箱(AT)
1750,变速箱,6挡手动,
1751,变速箱,,机械式自动变速箱(AMT)
1752,变速箱,,手动变速箱(MT)
1753,变速箱,,机械式自动变速箱(AMT)
1754,变速箱,,手动变速箱(MT)
1755,变速箱,8挡手自一体,
1756,变速箱,,手动变速箱(MT)
1757,变速箱,,手动变速箱(MT)
1758,变速箱,,手动变速箱(MT)
1759,变速箱,,手动变速箱(MT)
1760,变速箱,,机械式自动变速箱(AMT)
1761,变速箱,,手动变速箱(MT)
1762,变速箱,,手动变速箱(MT)
1763,变速箱,,手动变速箱(MT)
1764,变速箱,,
1765,变速箱,,机械式自动变速箱(AMT)
1766,变速箱,,自动变速箱(AT)
1767,变速箱,电动车单速变速箱,
1768,变速箱,,
1769,变速箱,,手动变速箱(MT)
1770,变速箱,,手动变速箱(MT)
1771,变速箱,,手动变速箱(MT)
1772,变速箱,6挡手自一体,
1773,变速箱,6挡手动,
1774,变速箱,,机械式自动变速箱(AMT)
1775,变速箱,,手动变速箱(MT)
1776,变速箱,7挡双离合,
1777,变速箱,,机械式自动变速箱(AMT)
1778,变速箱,,手动变速箱(MT)
1779,变速箱,8挡手自一体,
1780,变速箱,,手动变速箱(MT)
1781,变速箱,,手动变速箱(MT)
1782,变速箱,,手动变速箱(MT)
1783,变速箱,,手动变速箱(MT)
1784,变速箱,,
1785,变速箱,,机械式自动变速箱(AMT)
1786,变速箱,,自动变速箱(AT)
1787,变速箱,,固定齿比变速箱
1788,变速箱,,
1789,变速箱,,手动变速箱(MT)
1790,变速箱,6挡手动,
1791,变速箱,,
1792,变速箱,,
1793,变速箱,,
1794,变速箱,,
1795,变速箱,6挡手动,
1796,变速箱,,
1797,变速箱,,手动变速箱(MT)
1798,变速箱,,手动变速箱(MT)
1799,变速箱,7挡双离合,
1800,变速箱,,手动变速箱(MT)
1801,变速箱,,手动变速箱(MT)
1802,变速箱,,手动变速箱(MT)
1803,变速箱,,手动变速箱(MT)
1804,变速箱,,自动变速箱(AT)
1805,变速箱,,自动变速箱(AT)
1806,变速箱,7挡双离合,
1807,变速箱,,自动变速箱(AT)
1808,变速箱,8挡手自一体,
1809,变速箱,,
1810,变速箱,,固定齿比变速箱
1811,变速箱,,固定齿比变速箱
1812,变速箱,,自动变速箱(AT)
1813,变速箱,,手动变速箱(MT)
1814,变速箱,,自动变速箱(AT)
1815,变速箱,,自动变速箱(AT)
1816,变速箱,,手动变速箱(MT)
1817,变速箱,8挡手自一体,
1818,变速箱,,手动变速箱(MT)
1819,变速箱,,机械式自动变速箱(AMT)
1820,变速箱,,自动变速箱(AT)
1821,变速箱,,手动变速箱(MT)
1822,变速箱,,自动变速箱(AT)
1823,变速箱,,手动变速箱(MT)
1824,变速箱,,
1825,变速箱,,手动变速箱(MT)
1826,变速箱,6挡手自一体,
1827,变速箱,,手动变速箱(MT)
1828,变速箱,,机械式自动变速箱(AMT)
1829,变速箱,,手动变速箱(MT)
1830,变速箱,,
1831,变速箱,,
1832,变速箱,电动车单速变速箱,
1833,变速箱,,
1834,变速箱,,手动变速箱(MT)
1835,变速箱,8挡手自一体,
1836,变速箱,,手动变速箱(MT)
1837,变速箱,,
1838,变速箱,6挡手自一体,
1839,变速箱,,
1840,变速箱,,手动变速箱(MT)
1841,变速箱,,手动变速箱(MT)
1842,变速箱,8挡手自一体,
1843,变速箱,,手动变速箱(MT)
1844,变速箱,8挡手自一体,
1845,变速箱,6挡手自一体,
1846,变速箱,,机械式自动变速箱(AMT)
1847,变速箱,,机械式自动变速箱(AMT)
1848,变速箱,AMT（组合10挡）,
1849,变速箱,,手动变速箱(MT)
1850,变速箱,7挡双离合,
1851,变速箱,,手动变速箱(MT)
1852,变速箱,,自动变速箱(AT)
1853,变速箱,,手动变速箱(MT)
1854,变速箱,,手动变速箱(MT)
1855,变速箱,,自动变速箱(AT)
1856,变速箱,,手动变速箱(MT)
1857,变速箱,,固定齿比变速箱
1858,变速箱,,自动变速箱(AT)
1859,变速箱,,
1860,变速箱,电动车单速变速箱,
1861,变速箱,,固定齿比变速箱
1862,变速箱,,机械式自动变速箱(AMT)
1863,变速箱,,手动变速箱(MT)
1864,变速箱,,手动变速箱(MT)
1865,变速箱,,手动变速箱(MT)
1866,变速箱,6挡手动,
1867,变速箱,,自动变速箱(AT)
1868,变速箱,,手动变速箱(MT)
1869,变速箱,,自动变速箱(AT)
1870,变速箱,,手动变速箱(MT)
1871,变速箱,,手动变速箱(MT)
1872,变速箱,,
1873,变速箱,,自动变速箱(AT)
1874,变速箱,6挡手动,
1875,变速箱,,手动变速箱(MT)
1876,变速箱,,手动变速箱(MT)
1877,变速箱,,自动变速箱(AT)
1878,变速箱,,固定齿比变速箱
1879,变速箱,,手动变速箱(MT)
1880,变速箱,,手动变速箱(MT)
1881,变速箱,,手动变速箱(MT)
1882,变速箱,电动车单速变速箱,
1883,变速箱,,机械式自动变速箱(AMT)
1884,变速箱,,手动变速箱(MT)
1885,变速箱,AMT（组合10挡）,
