id:ID,name,高度(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),整备质量(kg),车身结构,车门数(个),座位数(个),后排车门开启方式,油箱容积(L),货箱尺寸(mm)
1172,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1173,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1174,车身,2740.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1175,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1176,车身,1722.0,3155.0,-,-,185,-,皮卡,4.0,5,平开门,-,1485x1510x530
1177,车身,,,,,,,,,,,,
1178,车身,1895.0,2910.0,1548,1553,145,1420,货车,4.0,2,侧滑门,-,-
1179,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1180,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1181,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1182,车身,2525.0,3366.0,1734,1756,180,2300,货车,5.0,3,侧滑门,-,-
1183,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1184,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1185,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,6,,50,
1186,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1187,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1188,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1189,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,-,80,-
1190,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1191,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1192,车身,2525.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1193,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1194,车身,2345.0,3100.0,-,-,-,-,货车,4.0,6,侧滑门,80,-
1195,车身,2552.0,3850.0,-,-,-,-,客车,5.0,14/15,-,80,-
1196,车身,1778.0,2800.0,-,-,-,-,MPV,5.0,7,,50,
1197,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1198,车身,1895.0,2910.0,1548,1553,145,1480,货车,4.0,2,侧滑门,-,-
1199,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1200,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1201,车身,2345.0,3100.0,-,-,-,-,客车,4.0,9,-,80,-
1202,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1203,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1204,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1205,车身,,,,,,,,,,,,
1206,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1207,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1208,车身,2525.0,3760.0,-,-,-,-,客车,5.0,15,侧滑门,80,-
1209,车身,1938.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1210,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1211,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1212,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1213,车身,2345.0,3100.0,-,-,-,-,客车,5.0,7/8/9,侧滑门,80,-
1214,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1215,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1216,车身,,,,,,,,,,,,
1217,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1218,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,7,,-,
1219,车身,2345.0,3850.0,-,-,-,-,客车,4.0,14/15,-,80,-
1220,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1221,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1222,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1223,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1224,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1225,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1226,车身,2105.0,2455.0,-,-,-,-,客车,4.0,10-12,侧滑门,-,-
1227,车身,,,,,,,,,,,,
1228,车身,2345.0,3100.0,-,-,-,-,客车,4.0,11,-,80,-
1229,车身,2552.0,3850.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1230,车身,2345.0,3850.0,-,-,-,-,客车,4.0,14,-,80,-
1231,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1232,车身,1722.0,3470.0,-,-,185,-,皮卡,4.0,5,平开门,-,1800x1510x530
1233,车身,2552.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1234,车身,,,,,,,,,,,,
1235,车身,,,,,,,,,,,,
1236,车身,1778.0,2800.0,-,-,-,-,MPV,5.0,7,,50,
1237,车身,,,,,,,,,,,,
1238,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1239,车身,,,,,,,,,,,,
1240,车身,2525.0,3366.0,1734,1756,180,2460,货车,5.0,3,侧滑门,-,-
1241,车身,2372.0,4175.0,-,-,-,-,客车,4.0,17/18,-,80,-
1242,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1243,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,5,,75,
1244,车身,,,,,,,,,,,,
1245,车身,2345.0,3100.0,-,-,-,-,客车,5.0,7/8/9,侧滑门,80,-
1246,车身,2577.0,4175.0,-,-,-,-,客车,4.0,17,-,80,-
1247,车身,,,,,,,,,,,,
1248,车身,1895.0,2910.0,1548,1553,145,1420,货车,4.0,2,侧滑门,-,-
1249,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1250,车身,2345.0,3100.0,-,-,-,-,客车,5.0,11/12,-,80,-
1251,车身,2372.0,4175.0,-,-,-,-,客车,5.0,17/18,-,80,-
1252,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1253,车身,1875.0,2950.0,1600,1620,210,2285,SUV,5.0,7,,75,
1254,车身,2735.0,3760.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1255,车身,2535.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1256,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1257,车身,,,,,,,,,,,,
1258,车身,2345.0,3100.0,-,-,-,-,货车,4.0,2/3,侧滑门,80,-
1259,车身,2105.0,2455.0,-,-,-,-,客车,4.0,9,侧滑门,-,-
1260,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1261,车身,2345.0,3100.0,-,-,-,-,货车,4.0,6,侧滑门,80,-
1262,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1263,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1264,车身,1845.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1265,车身,2345.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1266,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1267,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1268,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1269,车身,2535.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1270,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1271,车身,2552.0,3850.0,-,-,-,-,客车,5.0,6/7/8/9,侧滑门,80,-
1272,车身,2345.0,3850.0,-,-,-,-,客车,5.0,6/7/8/9,侧滑门,80,-
1273,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,6,,75,
1274,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1275,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1276,车身,2070.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1277,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1278,车身,2552.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1279,车身,2577.0,4175.0,-,-,-,-,客车,4.0,17,-,80,-
1280,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1281,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1282,车身,,,,,,,,,,,,
1283,车身,2555.0,3000.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1284,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1285,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,7,,-,
1286,车身,,,,,,,,,,,,
1287,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1288,车身,2345.0,3850.0,-,-,-,-,客车,5.0,9,-,80,-
1289,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1290,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1291,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1292,车身,2070.0,3100.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1293,车身,2552.0,3850.0,-,-,-,-,客车,4.0,14/15,-,80,-
1294,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,6,,50,
1295,车身,2345.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1296,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1297,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1298,车身,2535.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1299,车身,2345.0,3100.0,-,-,-,-,货车,4.0,2/3,-,80,-
1300,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1301,车身,2552.0,3850.0,-,-,-,-,货车,4.0,2/3,-,80,-
1302,车身,,,,,,,,,,,,
1303,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,-,80,-
1304,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1305,车身,1895.0,2910.0,1548,1553,145,1480,货车,4.0,2,侧滑门,-,-
1306,车身,,,,,,,,,,,,
1307,车身,2525.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1308,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1309,车身,,,,,,,,,,,,
1310,车身,,,,,,,,,,,,
1311,车身,,,,,,,,,,,,
1312,车身,,,,,,,,,,,,
1313,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,9,,-,
1314,车身,,,,,,,,,,,,
1315,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1316,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1317,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1318,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1319,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,侧滑门,80,-
1320,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1321,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1322,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1323,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1324,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1325,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
