id:ID,name,高度(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),整备质量(kg),车身结构,车门数(个),座位数(个),后排车门开启方式,油箱容积(L),货箱尺寸(mm)
1210,车身,2552.0,3850.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1211,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,6,,50,
1212,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1213,车身,,,,,,,,,,,,
1214,车身,,,,,,,,,,,,
1215,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1216,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1217,车身,2345.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1218,车身,2376.0,3850.0,1734,1728,200,2440,客车,4.0,2-3,侧滑门,-,-
1219,车身,2345.0,3100.0,-,-,-,-,客车,5.0,7/8/9,侧滑门,80,-
1220,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1221,车身,2132.0,3100.0,-,-,-,-,客车,4.0,9,-,80,-
1222,车身,1778.0,2800.0,-,-,-,-,MPV,5.0,7,,50,
1223,车身,2552.0,3850.0,-,-,-,-,客车,5.0,6/7/8/9,侧滑门,80,-
1224,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1225,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1226,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1227,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1228,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1229,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1230,车身,,,,,,,,,,,,
1231,车身,,,,,,,,,,,,
1232,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1233,车身,1895.0,2910.0,1548,1553,145,1480,货车,4.0,2,侧滑门,-,-
1234,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,7,,-,
